,GEO_ID,Total Education Population,Enrolled at school,Total Family,under poverty level
159,1500000US550250031004,1002,150,253,0
160,1500000US550250032001,2666,1325,650,103
161,1500000US550250101001,1033,339,287,10
162,1500000US550250101002,1117,243,318,12
163,1500000US550250102001,1316,292,412,0
164,1500000US550250103001,1745,286,438,21
165,1500000US550250103002,1737,412,532,7
166,1500000US550250104001,1195,288,277,33
167,1500000US550250104002,1072,168,262,7
168,1500000US550250104003,1035,324,274,0
169,1500000US550250105011,1672,501,484,5
170,1500000US550250105012,1629,384,506,17
171,1500000US550250105021,1497,342,453,0
172,1500000US550250105022,2224,497,690,0
173,1500000US550250105023,1213,319,307,19
174,1500000US550250105024,3251,714,924,16
175,1500000US550250106001,1100,131,338,36
176,1500000US550250106002,982,145,338,0
177,1500000US550250106003,798,187,240,0
178,1500000US550250106004,1104,227,347,15
179,1500000US550250106005,1162,114,448,0
180,1500000US550250107011,2820,609,888,0
181,1500000US550250107012,1930,435,525,53
182,1500000US550250107013,1576,335,567,0
183,1500000US550250107021,2948,875,841,0
184,1500000US550250107022,769,104,231,14
185,1500000US550250107023,2695,434,663,0
186,1500000US550250107024,1009,145,175,0
187,1500000US550250108001,2544,726,775,0
188,1500000US550250108002,1768,616,509,0
189,1500000US550250108003,780,220,209,0
190,1500000US550250108004,1880,503,523,42
191,1500000US550250108005,4273,1081,1157,11
192,1500000US550250109011,7456,1929,1999,58
193,1500000US550250109031,3426,678,939,0
194,1500000US550250109041,1994,549,621,0
195,1500000US550250109042,3247,916,1004,0
196,1500000US550250109043,1322,294,427,20
197,1500000US550250109044,2562,785,756,0
198,1500000US550250110001,1740,322,444,8
199,1500000US550250110002,2300,600,683,39
200,1500000US550250111011,1457,529,412,44
201,1500000US550250111012,2196,721,508,0
202,1500000US550250111013,1003,104,314,16
203,1500000US550250111021,1485,357,433,5
204,1500000US550250111022,1727,520,529,0
205,1500000US550250111023,853,252,261,0
206,1500000US550250111024,1476,254,402,14
207,1500000US550250111025,762,173,171,0
208,1500000US550250111026,1441,260,368,44
209,1500000US550250111027,1150,249,363,0
210,1500000US550250112001,1112,268,272,0
211,1500000US550250112002,4959,1442,1297,35
212,1500000US550250112003,1817,555,540,17
213,1500000US550250112004,1754,295,539,15
214,1500000US550250113011,4092,1301,1172,84
215,1500000US550250113012,2179,366,631,15
216,1500000US550250113021,1388,365,400,29
217,1500000US550250113022,1096,259,251,0
218,1500000US550250113023,670,167,165,9
219,1500000US550250114011,2469,479,553,15
220,1500000US550250114012,4226,1059,924,22
221,1500000US550250114013,2049,227,466,27
222,1500000US550250114021,2417,767,536,0
223,1500000US550250114022,1535,248,323,0
224,1500000US550250114023,6660,1862,1995,14
225,1500000US550250115031,3645,1239,1024,19
226,1500000US550250115032,5081,1410,1428,13
227,1500000US550250115041,1732,421,484,19
228,1500000US550250115042,2082,524,503,75
229,1500000US550250115051,1408,408,410,0
230,1500000US550250115052,2195,596,506,79
231,1500000US550250115053,1058,253,250,35
232,1500000US550250115061,2747,275,595,12
233,1500000US550250115062,1891,512,602,0
234,1500000US550250115063,795,223,195,107
235,1500000US550250116001,922,203,262,20
236,1500000US550250116002,3222,905,797,14
237,1500000US550250116003,2684,748,638,8
238,1500000US550250117001,1989,610,538,8
239,1500000US550250117002,2020,437,691,19
240,1500000US550250118001,3329,800,853,123
241,1500000US550250118002,1664,441,479,0
242,1500000US550250118003,975,250,267,8
243,1500000US550250119001,2279,626,705,16
244,1500000US550250119002,2008,425,544,7
245,1500000US550250119003,900,194,262,3
246,1500000US550250119004,1667,390,465,11
247,1500000US550250120011,2213,504,726,0
248,1500000US550250120012,1729,426,635,16
249,1500000US550250120013,4740,1517,1323,13
250,1500000US550250120021,450,33,164,0
251,1500000US550250120022,1089,213,326,8
252,1500000US550250120023,667,145,202,0
253,1500000US550250120024,1222,316,317,0
254,1500000US550250120025,1461,292,453,0
255,1500000US550250121001,697,196,204,13
256,1500000US550250121002,909,256,257,20
257,1500000US550250121003,1109,206,324,0
258,1500000US550250122011,654,134,149,5
259,1500000US550250122012,1328,288,341,3
260,1500000US550250122021,1899,487,593,2
261,1500000US550250122022,948,161,294,0
