"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school"
"1500000US550250003003","Block Group 3, Census Tract 3, Dane County, Wisconsin","1185","263","400","163","14","23","18","27","0","9","53","62","0","9","0","9","41","45","48","38","45","69","76","52","18","30","13","22","59","48","0","9","0","9","15","23","785","144"
"1500000US550250003004","Block Group 4, Census Tract 3, Dane County, Wisconsin","1062","245","332","132","26","42","19","28","0","9","0","9","0","9","0","9","0","9","0","9","17","27","0","9","0","9","0","9","0","9","0","9","56","72","214","104","730","196"
"1500000US550250004011","Block Group 1, Census Tract 4.01, Dane County, Wisconsin","2217","222","585","137","23","21","25","23","16","17","18","21","25","24","17","18","19","19","19","23","27","24","8","13","43","35","8","12","20","21","69","39","116","60","132","57","1632","161"
"1500000US550250004012","Block Group 2, Census Tract 4.01, Dane County, Wisconsin","990","144","243","96","21","19","10","15","16","18","0","9","47","33","0","9","10","16","36","31","16","18","10","16","22","23","9","14","0","9","25","24","13","19","8","13","747","89"
"1500000US550250004021","Block Group 1, Census Tract 4.02, Dane County, Wisconsin","1214","152","290","110","10","15","27","24","8","14","9","14","18","20","20","20","0","9","25","40","33","42","0","9","0","9","25","38","17","18","15","16","63","57","20","22","924","98"
"1500000US550250004022","Block Group 2, Census Tract 4.02, Dane County, Wisconsin","1348","158","333","100","37","30","38","28","9","14","19","21","9","14","34","29","36","28","0","9","17","18","0","9","15","17","38","31","18","27","16","25","20","21","27","24","1015","116"
"1500000US550250004051","Block Group 1, Census Tract 4.05, Dane County, Wisconsin","867","275","195","98","0","9","0","9","21","33","0","9","0","9","0","9","28","45","0","9","0","9","16","26","0","9","14","25","0","9","0","9","73","56","43","43","672","245"
"1500000US550250004052","Block Group 2, Census Tract 4.05, Dane County, Wisconsin","1052","296","155","98","0","9","0","9","0","9","0","9","0","9","0","9","23","37","0","9","0","9","22","37","25","39","0","9","0","9","0","9","72","69","13","19","897","263"
"1500000US550250004053","Block Group 3, Census Tract 4.05, Dane County, Wisconsin","1995","340","417","195","70","58","0","9","15","20","29","44","16","27","0","9","0","9","17","28","18","29","0","9","12","19","0","9","18","29","64","81","44","39","114","127","1578","255"
"1500000US550250004054","Block Group 4, Census Tract 4.05, Dane County, Wisconsin","2779","455","839","276","78","72","68","71","15","26","0","9","48","59","24","36","24","36","25","37","24","36","43","63","39","42","46","60","92","71","112","122","162","86","39","48","1940","408"
"1500000US550250004061","Block Group 1, Census Tract 4.06, Dane County, Wisconsin","3168","236","473","108","33","24","31","26","8","14","42","28","0","9","19","20","30","28","0","9","34","27","43","32","0","9","18","22","0","9","12","18","117","64","86","47","2695","234"
"1500000US550250004071","Block Group 1, Census Tract 4.07, Dane County, Wisconsin","1507","355","325","150","14","22","48","44","0","9","38","49","0","9","0","9","15","24","15","25","0","9","0","9","24","34","10","16","0","9","29","36","117","134","15","22","1182","286"
"1500000US550250004072","Block Group 2, Census Tract 4.07, Dane County, Wisconsin","1860","461","623","323","170","122","89","68","72","98","0","9","15","25","68","72","95","102","19","35","0","9","43","51","0","9","0","9","37","42","0","9","15","24","0","9","1237","231"
"1500000US550250004073","Block Group 3, Census Tract 4.07, Dane County, Wisconsin","1252","240","202","111","0","9","0","9","13","23","0","9","12","19","0","9","32","40","0","9","32","40","0","9","8","16","0","9","9","16","6","13","68","99","22","29","1050","207"
"1500000US550250004074","Block Group 4, Census Tract 4.07, Dane County, Wisconsin","723","251","134","93","0","9","0","9","0","9","0","9","16","25","3","15","16","25","28","34","31","34","4","14","0","9","0","9","0","9","0","9","36","37","0","9","589","211"
"1500000US550250004081","Block Group 1, Census Tract 4.08, Dane County, Wisconsin","1325","135","94","59","11","13","0","9","4","8","5","7","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","25","29","49","48","1231","146"
"1500000US550250004082","Block Group 2, Census Tract 4.08, Dane County, Wisconsin","510","91","58","46","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","0","9","5","8","0","9","0","9","0","9","43","37","10","17","452","81"
"1500000US550250005011","Block Group 1, Census Tract 5.01, Dane County, Wisconsin","1439","271","268","157","34","41","0","9","48","45","0","9","31","41","7","17","17","28","0","9","0","9","14","22","60","73","0","9","0","9","12","19","0","9","45","43","1171","200"
"1500000US550250005012","Block Group 2, Census Tract 5.01, Dane County, Wisconsin","687","301","296","257","6","16","62","67","16","25","0","9","0","9","16","26","13","22","43","64","0","9","12","22","45","66","11","20","0","9","18","25","35","51","19","22","391","115"
"1500000US550250005013","Block Group 3, Census Tract 5.01, Dane County, Wisconsin","849","272","61","50","0","9","0","9","0","9","0","9","9","15","0","9","0","9","0","9","10","18","0","9","0","9","0","9","0","9","14","25","22","28","6","18","788","264"
