"geo_key","name","bndry_chg","acres","hu_10","pc_own_10","tot_pop_10","pc_un5_10","pc_un18_10","pc_ov64_10","pc_wht_10","pc_afrm_10","pc_asn_10","pc_othm_10","pc_hisp_10","hh_10","fam_10","pc_fmwc_10","pc_fhwc_10","du_cty","asst_unts","du_cmps","yrblt_mdn","prd_viol","avg_huval","sqft_val","avg_c_hval","sqft_c_val","avg_n_hval","sqft_n_val","crm_pers","crm_prop","crm_scty","crash","prmry_ems","prmry_fire","pc_vterm","pc_appr","pc_krdy","pc_nhsg","pc_clgg","pc_hmbl","pc_frlu","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","fam_pov","pc_unem","gds_svcs","pc_trst","trst_trps","pc_ownvh","avg_stcnd"
"153","Burr Oaks Neighborhood Association","No","247.1","768","19.9","1745","9.7","30.4","3.8","20.1","19.1","22.2","4.6","34","645","362","35.3","13.4","761","122","0","1962","21","147335","90.1","59814.3","78.9","137809.1","95.8","24","102","132","123",280,162,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",11,499,231,""N/A"",""N/A"",""N/A"","P,B,G","89","2086",""N/A"","5.5"
"100","Carpenter-Ridgeway Neighborhood Association","No","646.4","510","42","1016","6.4","16.6","7","66.4","12.1","3.6","3.6","14.2","481","213","18.9","7.1","567","76","0","1986","12","188832","127.9","153930.8","109.4","178252.9","125","18","44","98","155",265,129,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",7,317,227,""N/A"",""N/A"",""N/A"","P,B,G","85.5","1702",""N/A"","5.9"
"114","Marquette Neighborhood Association","No","453.1","2627","37.6","4909","4.1","12.8","4.7","88.8","3.1","1.8","3.1","3.3","2517","865","15.4","4.5","3246","226","0","1917","73","405640","242","300759.2","272.8","315561.7","228.6","43","161","190","251",770,409,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",10,545,339,""N/A"",""N/A"",""N/A"","B,G","100","2515",""N/A"","6.4"
"147","Westmorland Neighborhood Association","No","342.6","1031","87.4","2207","6.2","22.2","15","91.7","0.5","3.9","2.2","1.7","972","594","28.9","4.6","1094","0","0","1951","9","341626","190.4","325448.9","287.2","316544.9","178.8","2","24","5","26",105,48,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",6,197,157,"96902","4","0","G","99.3","1472","96.6","5.9"
"159","Meadowood Neighborhood Association","No","373.7","1250","70.5","2962","7.9","25.3","12.6","68.6","13.7","3.9","3.7","10.2","1187","804","29.7","8.7","1281","70","0","1964","80","222460","132","82300","69.3","214095.1","127.2","14","59","115","29",234,71,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",12,144,114,""N/A"",""N/A"",""N/A"","P,B","85.4","831",""N/A"","6.1"
"362","Crawford-Marlborough-Nakoma Neighborhood Association","Yes","345.3","1017","90.2","2475","6.9","24.3","13.8","89.8","4.3","1.7","1.7","2.6","978","703","33.1","4.4","1091","1","0","1946","14","461704","212","128912.5","151.8","457768.2","207.8","2","54","19","35",131,95,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",7,285,157,""N/A"",""N/A"",""N/A"","G","94.7","1201",""N/A"","6.1"
"169","Orchard Ridge Neighborhood Association","No","562.2","1082","75.9","2262","5","17.4","21.3","87.6","3.5","3","2.3","3.5","1036","641","21","3.8","1080","0","0","1964","15","276737","130.2","131581.3","89.8","270601.5","129.7","9","128","30","55",224,99,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",11,557,231,""N/A"",""N/A"",""N/A"","P,B,G","89.3","1214",""N/A"","6.5"
"105","Eken Park Neighborhood Association","No","226.5","1366","50.4","2505","6.2","15","6.8","78.3","8.9","2","4","6.7","1282","518","16.3","5.5","1366","12","0","1948","38","184764","164.8","160881.5","102.8","174007.4","160.1","17","46","104","119",300,143,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",4,165,5,""N/A"",""N/A"",""N/A"","P,B,G","98","2565",""N/A"","6.5"
"166","Glacier Ridge Neighborhood Association","No","195.4","576","86.3","1385","11.1","27.9","2.7","83.3","2.8","8.1","1.6","4.3","550","363","39.7","3.1","579","0","0","2002","6","297918","143.3","207849.1","143.8","297482.4","134.7","0","13","0","2",41,15,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",2,128,5,""N/A"",""N/A"",""N/A"","None","2.8","0",""N/A"","7"
"133","Glen Oak Hills Neighborhood Association","No","137.7","447","78.8","844","5.8","14.9","16.7","87.7","2.7","1.9","2.8","4.8","430","226","18.1","3","445","6","0","1956","6","258612","172.9","114700","149.2","233415.7","167.9","2","2","2","15",46,38,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",8,197,111,""N/A"",""N/A"",""N/A"","G","92.8","1912",""N/A"","5.6"
"139","Glendale Neighborhood Association","No","536.5","988","74.5","2233","6.6","19.8","16.4","79.1","5.7","2.9","3.3","9.1","942","593","24.7","6.7","984","9","0","1958","32","216202","130.7","110229.8","92.2","225774.6","126.6","16","77","55","43",162,82,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",8,146,6,""N/A"",""N/A"",""N/A"","P,B,G","97.2","670",""N/A"","5.9"
"355","Indian Springs Neighborhood Association","No","179.2","684","62.8","1654","9.6","29","3.9","53.9","12.2","8.1","4.5","21.2","628","384","35.4","8.4","725","0","0","1988","29","221488","138.3",""N/A"",""N/A"","225865.8","141.6","2","27","15","24",192,79,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",6,44,23,""N/A"",""N/A"",""N/A"","B","75.3","317",""N/A"","6.4"
"123","Lake Edge Neighborhood Association","No","458.3","1106","82.9","2380","6.1","18","12.9","88.5","2.5","0.5","3.1","5.4","1064","603","21.7","4.3","1176","1","0","1951","33","205305","139.5",""N/A"",""N/A"","180892.1","142.3","11","42","36","63",224,103,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",7,352,222,""N/A"",""N/A"",""N/A"","P,B,G","83.2","775",""N/A"","4.8"
"101","Ridgewood Neighborhood Association","No","410.5","1549","53.4","3992","9.3","27","3.8","57.5","15.5","12.1","4.9","9.9","1497","937","35","10.5","1730","40","0","1995","33","251734","128","141349.3","114.2","240900","131.2","5","91","57","42",212,98,""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",""suppressed"",5,123,82,""N/A"",""N/A"",""N/A"","None","68","468",""N/A"","7.8"
